run_id,Q,N,loop,estimator,T,time,estimation_error_norm
52f3cac1,Q1,10,1,EKF,30,0,0
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0,0
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0,0
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0,0
52f3cac1,Q1,10,1,EKF,30,0.01,0.034898
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.01,0.03647
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.01,0.038672
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.01,0.032223
52f3cac1,Q1,10,1,EKF,30,0.02,0.045359
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.02,0.046926
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.02,0.060986
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.02,0.048846
52f3cac1,Q1,10,1,EKF,30,0.03,0.046169
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.03,0.047268
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.03,0.051807
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.03,0.041179
52f3cac1,Q1,10,1,EKF,30,0.04,0.047296
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.04,0.048165
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.04,0.059409
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.04,0.045238
52f3cac1,Q1,10,1,EKF,30,0.05,0.058003
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.05,0.058976
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.05,0.07945
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.05,0.063618
52f3cac1,Q1,10,1,EKF,30,0.06,0.072248
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.06,0.073135
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.06,0.087826
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.06,0.07575
52f3cac1,Q1,10,1,EKF,30,0.07,0.075166
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.07,0.075979
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.07,0.094853
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.07,0.082076
52f3cac1,Q1,10,1,EKF,30,0.08,0.083327
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.08,0.084085
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.08,0.08812
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.08,0.082293
52f3cac1,Q1,10,1,EKF,30,0.09,0.08928
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.09,0.090006
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.09,0.096909
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.09,0.090538
52f3cac1,Q1,10,1,EKF,30,0.1,0.093544
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.1,0.094217
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.1,0.106291
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.1,0.098523
52f3cac1,Q1,10,1,EKF,30,0.11,0.100915
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.11,0.101519
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.11,0.112969
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.11,0.106315
52f3cac1,Q1,10,1,EKF,30,0.12,0.106317
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.12,0.106952
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.12,0.117372
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.12,0.111487
52f3cac1,Q1,10,1,EKF,30,0.13,0.116096
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.13,0.116703
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.13,0.130501
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.13,0.124728
52f3cac1,Q1,10,1,EKF,30,0.14,0.125574
